jam 11,else
saya mau jam 12,else
harganya berapa,hargaL
mahal ga,hargaL
berapa harga untuk satu jam,hargaL
berapa harga untuk sekali main,hargaL
berapa harga nya?,hargaL
harga,hargaL
apakah harganya mahal,hargalapangan
berapa harga untuk satu jam,hargalapangan
berapa harga untuk sekali main,hargalapangan
berapa harganya,hargalapangan
berapa untuk harga membuat member,hargaM
berapa untuk harga menjadi member,hargaM
berapa harga member,hargaM
hai,intro
selamat malam,intro
selamat siang,intro
selamat pagi,intro
hello,intro
saya ambil jam 6,jam
jam 6,jam
jam 7,jam
jam 8,jam
jam 9,jam
jam 10,jam
saya ambil jam 7,jam
saya ambil jam 8,jam
saya ambil jam 9,jam
saya mau jam 6,jam
saya mau jam 7,jam
saya mau jam 8,jam
saya mau jam 9,jam
keuntungan apa aja yang saya dapatkan,KelebihanM
apa aja kelebihan dari member,KelebihanM
apa saja kelebihan dari member,KelebihanM
apa aja kelebihan dari member,kelebihanmember
keuntungan apa aja yang saya dapatkan,kelebihanmember
apa saja kelebihan dari member,kelebihanmember
lapangan 3,lapanga
lapangan 6,lapanga
lapangan 5,lapanga
lapangan 4,lapanga
lapangan 2,lapanga
apakah lapangan 3 masih kosong,Lkosong
3 kosong ga,Lkosong
5 kosong ga,Lkosong
4 kosong ga,Lkosong
2 kosong ga,Lkosong
apakah lapangan 6 masih kosong,Lkosong
apakah lapangan 5 masih kosong,Lkosong
apakah lapangan 2 masih kosong,Lkosong
6 masih kosong ga,Lkosong
apakah lapangan 4 masih kosong,Lkosong
5 masih kosong ga,Lkosong
4 masih kosong ga,Lkosong
3 masih kosong ga,Lkosong
2 masih kosong ga,Lkosong
6 kosong ga,Lkosong
apakah lapangan 1 kosong ?,Lpenuh
lapangan 1 kosong ga?,Lpenuh
ada berapa lapangan,Ltersedia
kira-kira berapa lapangan yang tersedia,Ltersedia
ada berapa jumlah lapangan yang bisa digunakan,Ltersedia
baik saya ambil lapangan 6,penyewaanlapangan
lapangan 2,penyewaanlapangan
lapangan 3,penyewaanlapangan
lapangan 4,penyewaanlapangan
lapangan 5,penyewaanlapangan
lapangan 6,penyewaanlapangan
